Date,Open,High,Low,Close,Adj Close,Volume
25-11-2021,4271.394531,4550.518066,4249.774414,4274.743164,4274.743164,18705358318
26-11-2021,4522.208984,4550.842285,3933.506592,4030.908936,4030.908936,26281795488
27-11-2021,4042.999023,4187.684082,4033.513916,4096.912109,4096.912109,16515693874
28-11-2021,4101.648926,4297.916504,3989.969971,4294.453613,4294.453613,15953126340
29-11-2021,4296.946777,4460.848633,4284.504883,4445.10498,4445.10498,19086475837
30-11-2021,4447.768066,4753.266113,4358.074219,4631.479004,4631.479004,28626354111
01-12-2021,4623.679688,4780.732422,4530.272461,4586.990234,4586.990234,27634826695
02-12-2021,4586.333008,4628.919922,4441.507813,4511.302246,4511.302246,21502671027
03-12-2021,4514.355957,4647.289063,4100.145508,4220.706055,4220.706055,25879591528
04-12-2021,4227.762207,4242.725586,3525.494141,4119.587402,4119.587402,38478999182
05-12-2021,4119.628906,4246.92334,4040.217529,4198.322754,4198.322754,25533062707
06-12-2021,4199,4375.520508,3930.806641,4358.737305,4358.737305,28229518513
07-12-2021,4358.586914,4428.589355,4264.32373,4315.061523,4315.061523,22366213354
08-12-2021,4311.674316,4453.112305,4234.537598,4439.35791,4439.35791,18704315119
09-12-2021,4433.024902,4482.313965,4078.844238,4119.815918,4119.815918,22296131874
10-12-2021,4113.588379,4227.111816,3897.767578,3908.496094,3908.496094,28014595631
11-12-2021,3909.667725,4095.648438,3846.054443,4084.452393,4084.452393,19131502454
12-12-2021,4084.811279,4173.608887,3993.055908,4134.453125,4134.453125,14057603914
13-12-2021,4136.359863,4145.955078,3680.609131,3784.226807,3784.226807,23999841386
14-12-2021,3782.822754,3866.633789,3700.104736,3745.44043,3745.44043,23836759957
15-12-2021,3862.251465,4086.372803,3664.719971,4018.388672,4018.388672,26411188833
16-12-2021,4020.415039,4110.368652,3956.057129,3962.469727,3962.469727,19825531254
17-12-2021,3959.012451,3992.79248,3711.424561,3879.486572,3879.486572,23143541098
18-12-2021,3880.291504,3993.829834,3774.61499,3960.860107,3960.860107,19530895889
19-12-2021,3960.872314,4018.658447,3894.398682,3922.592529,3922.592529,16167785597
20-12-2021,3923.695801,3980.098633,3759.40332,3933.844482,3933.844482,21589690675
21-12-2021,3938.463867,4058.821289,3918.837891,4020.26001,4020.26001,16388555198
22-12-2021,4018.695801,4073.791504,3947.690186,3982.099609,3982.099609,13921756199
23-12-2021,3981.96167,4149.026855,3897.234375,4108.015625,4108.015625,18007273742
24-12-2021,4111.345215,4134.106445,4029.064453,4047.98291,4047.98291,12769090623
25-12-2021,4049.781982,4138.564941,4027.927002,4093.281006,4093.281006,10894785525
26-12-2021,4094.151611,4105.023926,4013.026367,4067.328125,4067.328125,11197244172
27-12-2021,4064.746338,4126.001465,4033.492432,4037.547607,4037.547607,11424360002
28-12-2021,4037.538086,4037.538086,3769.280029,3800.893066,3800.893066,17299472803
29-12-2021,3797.436279,3827.981934,3612.795898,3628.531738,3628.531738,15722555672
30-12-2021,3632.219727,3767.559814,3595.204834,3713.852051,3713.852051,12925377999
31-12-2021,3713.430176,3807.288818,3636.869873,3682.632813,3682.632813,14157285268
01-01-2022,3683.047119,3769.917969,3682.286621,3769.697021,3769.697021,9776191466
